Regiones,Fecha,Year,Num_mes,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,Cat_Variedad
MATAGALPA,6/24/2019,2019,6,12.86686039,-85.88221741,680,CATIMOR,Fruto Consistente,527,2,0.38,Resistentes
RACN,2/14/2019,2019,2,13.28366756,-85.40366364,457,CATIMOR,Hojas Nuevas Mayor al 30%,647,1,0.15,Resistentes
RACN,10/08/2019,2019,10,13.297962,-85.411469,673,CATIMOR,Madurez Fisiol¢gica,674,0,0,Resistentes
RACN,11/07/2019,2019,11,13.297962,-85.411469,673,CATIMOR,Madurez Fisiol¢gica,640,0,0,Resistentes
RACN,1/15/2019,2019,1,13.28366756,-85.40366364,457,CATIMOR,Hojas Nuevas Mayor al 30%,780,8,1.03,Resistentes
NUEVA SEGOVIA,6/15/2019,2019,6,13.96817017,-86.15201569,981,CATIMOR,Fruto Consistente,1115,0,0,Resistentes
NUEVA SEGOVIA,2/16/2019,2019,2,13.96817017,-86.15201569,981,CATIMOR,Hojas Nuevas Mayor al 30%,902,44,4.88,Resistentes
RACN,5/14/2019,2019,5,13.28366756,-85.40366364,457,CATIMOR,Hojas Nuevas Mayor al 30%,587,1,0.17,Resistentes
RACN,03/12/2019,2019,3,13.28366756,-85.40366364,457,CATIMOR,Hojas Nuevas de 15.1% A 30%,631,1,0.16,Resistentes
RACN,09/11/2019,2019,9,13.297962,-85.411469,673,CATIMOR,Inicio de Cosecha,883,0,0,Resistentes
RACN,12/05/2019,2019,12,13.297962,-85.411469,673,CATIMOR,Madurez Fisiol¢gica,702,0,0,Resistentes
JINOTEGA,10/18/2019,2019,10,13.65058708,-85.71094513,946,CATIMOR,Madurez Fisiol¢gica,915,35,3.83,Resistentes
JINOTEGA,9/18/2019,2019,9,13.13312531,-85.98410034,949,CATIMOR,Fruto Consistente,746,0,0,Resistentes
JINOTEGA,04/04/2019,2019,4,13.13312531,-85.98410034,949,CATIMOR,Floracion Loca,199,0,0,Resistentes
JINOTEGA,12/19/2019,2019,12,13.13312531,-85.98410034,949,CATIMOR,Madurez Fisiol¢gica,924,0,0,Resistentes
NUEVA SEGOVIA,12/12/2019,2019,12,13.96817017,-86.15201569,981,CATIMOR,Madurez Fisiol¢gica,1072,71,6.62,Resistentes
JINOTEGA,04/04/2019,2019,4,13.13312531,-85.98410034,949,CATIMOR,Floraci¢n,45,0,0,Resistentes
JINOTEGA,2/19/2019,2019,2,13.65058708,-85.71094513,946,CATIMOR,Hojas Nuevas Mayor al 30%,869,34,3.91,Resistentes
JINOTEGA,4/17/2019,2019,4,13.65058708,-85.71094513,946,CATIMOR,Floraci¢n,886,34,3.84,Resistentes
JINOTEGA,04/04/2019,2019,4,13.13312531,-85.98410034,949,CATIMOR,Floracion Loca,164,0,0,Resistentes
JINOTEGA,2/15/2019,2019,2,13.13312531,-85.98410034,949,CATIMOR,Madurez Fisiol¢gica,864,2,0.23,Resistentes
JINOTEGA,03/12/2019,2019,3,13.13312531,-85.98410034,949,CATIMOR,Floraci¢n,766,10,1.31,Resistentes
JINOTEGA,08/06/2019,2019,8,13.13312531,-85.98410034,949,CATIMOR,Fruto Consistente,873,0,0,Resistentes
NUEVA SEGOVIA,12/13/2019,2019,12,13.92380047,-86.13300323,760,CATIMOR,Madurez Fisiol¢gica,1037,16,1.54,Resistentes
NUEVA SEGOVIA,04/12/2019,2019,4,13.92380047,-86.13300323,760,CATIMOR,Hojas Nuevas Mayor al 30%,516,41,7.95,Resistentes
NUEVA SEGOVIA,07/05/2019,2019,7,13.92380047,-86.13300323,760,CATIMOR,Fruto Consistente,976,0,0,Resistentes
JINOTEGA,6/21/2019,2019,6,13.13312531,-85.98410034,949,CATIMOR,Fruto Consistente,943,0,0,Resistentes
NUEVA SEGOVIA,04/09/2019,2019,4,13.92380047,-86.13300323,760,CATIMOR,Hojas Nuevas Mayor al 30%,933,0,0,Resistentes
MATAGALPA,6/24/2019,2019,6,12.79277802,-85.83169556,777,CATIMOR,Fruto Consistente,423,3,0.71,Resistentes
NUEVA SEGOVIA,10/21/2019,2019,10,13.92380047,-86.13300323,760,CATIMOR,Madurez Fisiol¢gica,1078,0,0,Resistentes
NUEVA SEGOVIA,01/11/2019,2019,1,13.92380047,-86.13300323,760,CATIMOR,Madurez Fisiol¢gica,1072,57,5.32,Resistentes
MATAGALPA,3/15/2019,2019,3,12.79277802,-85.83169556,777,CATIMOR,Floracion Loca,508,10,1.97,Resistentes
NUEVA SEGOVIA,12/13/2019,2019,12,13.92380047,-86.13300323,760,CATIMOR,Madurez Fisiol¢gica,1037,16,1.54,Resistentes
NUEVA SEGOVIA,03/12/2019,2019,3,13.92380047,-86.13300323,760,CATIMOR,Hojas Nuevas Mayor al 30%,979,23,2.35,Resistentes
JINOTEGA,04/04/2019,2019,4,13.13312531,-85.98410034,949,CATIMOR,Floraci¢n Principal,169,2,1.18,Resistentes
JINOTEGA,04/10/2019,2019,4,13.13312531,-85.98410034,949,CATIMOR,Floraci¢n Principal,614,0,0,Resistentes
JINOTEGA,11/06/2019,2019,11,13.13312531,-85.98410034,949,CATIMOR,Madurez Fisiol¢gica,1066,0,0,Resistentes
MATAGALPA,04/08/2019,2019,4,12.79277802,-85.83169556,777,CATIMOR,Hojas Nuevas Mayor al 30%,551,5,0.91,Resistentes
NUEVA SEGOVIA,6/14/2019,2019,6,13.92380047,-86.13300323,760,CATIMOR,Fruto Consistente,1113,0,0,Resistentes
MATAGALPA,05/02/2019,2019,5,12.79277802,-85.83169556,777,CATIMOR,Hojas Nuevas Mayor al 30%,779,2,0.26,Resistentes
MATAGALPA,2/16/2019,2019,2,12.79277802,-85.83169556,777,CATIMOR,Hojas Nuevas Mayor al 30%,507,14,2.76,Resistentes
