Regiones,Fecha,Mes,Year,Fec,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,cat_Variedad,tipo_de_datos
Comayagua,9/21/2017,Septiembre,2017,9,14.25,-87.47000122,1285,CATUAI,Madurez Fisiologica,782,37,4.73,Susceptibles,a realizar
Santa Barbara,1/24/2018,Enero,2018,1,14.84029961,-88.43665314,1448,CATUAI,Madurez Fisiologica,563,0,0,Susceptibles,a realizar
Francisco Morazan,3/27/2018,Marzo,2018,3,14.35999966,-87.3259964,1435,CATUAI,Floracion,538,90,16.73,Susceptibles,a realizar
Copan,3/29/2018,Marzo,2018,3,14.5,-89,1458,CATUAI,Hojas Nuevas Mayor al 30%,1175,0,0,Susceptibles,a realizar
Comayagua,3/28/2018,Marzo,2018,3,14.89006901,-87.59043121,1125,CATUAI,Hojas Nuevas Mayor al 30%,603,99,16.42,Susceptibles,a realizar
Comayagua,9/19/2017,Septiembre,2017,9,14.60000038,-87.90000153,1314,CATUAI,Fruto Consistente,1106,155,14.01,Susceptibles,a realizar
Comayagua,8/15/2017,Agosto,2017,8,14.23999977,-87.90000153,1420,CATUAI,Fruto Consistente,1175,55,4.68,Susceptibles,a realizar
Copan,8/17/2017,Agosto,2017,8,14.30000019,-88.5,1409,CATUAI,Fruto Consistente,666,0,0,Susceptibles,a realizar
Comayagua,3/31/2018,Marzo,2018,3,14.57077122,-87.9729538,1301,CATUAI,Floracion,1048,24,2.29,Susceptibles,a realizar
Santa Barbara,11/20/2017,Noviembre,2017,11,14.57549953,-88.52279663,1428,CATUAI,Madurez Fisiologica,948,109,11.5,Susceptibles,a realizar
Cortes,8/17/2017,Agosto,2017,8,15.23880959,-87.81156921,1258,CATUAI,Desarrollo,992,224,22.58,Susceptibles,a realizar
Copan,1/23/2018,Enero,2018,1,14.69999981,-89.09999847,1180,CATUAI,Fin de Cosecha,647,17,2.63,Susceptibles,a realizar
Comayagua,9/19/2017,Septiembre,2017,9,14.31999969,-87.29000092,1466,CATURRA,Fruto Consistente,503,16,3.18,Susceptibles,a realizar
Santa Barbara,8/15/2017,Agosto,2017,8,14.57409954,-88.52320099,1444,CATUAI,Fruto Consistente,936,32,3.42,Susceptibles,a realizar
Copan,1/25/2018,Enero,2018,1,14.61065865,-88.78356171,1322,CATUAI,Madurez Fisiologica,797,31,3.89,Susceptibles,a realizar
Olancho,3/29/2017,Marzo,2017,3,15,-88.09999847,1437,PACAS,Fin de Cosecha,1400,67,4.79,Susceptibles,a realizar
Cortes,8/14/2017,Agosto,2017,8,15.05525017,-87.23021698,1339,CATUAI,Formacion de Fruto,1216,49,4.03,Susceptibles,a realizar
El Paraiso,3/31/2018,Marzo,2018,3,13.48069954,-86.24295044,1105,CATUAI,Hojas Nuevas Mayor al 30%,502,209,41.63,Susceptibles,a realizar
Francisco Morazan,3/11/2017,Marzo,2017,3,14.36987019,-86.83241272,1134,CATUAI,Floracion Principal,847,15,1.77,Susceptibles,a realizar
Francisco Morazan,7/19/2017,Julio,2017,7,14.36901474,-86.8718338,1378,CATUAI,Fruto Consistente,709,37,5.22,Susceptibles,a realizar
Francisco Morazan,8/16/2017,Agosto,2017,8,14.42599964,-87.3234024,1370,CATUAI,Fruto Consistente,985,104,10.56,Susceptibles,a realizar
Comayagua,3/30/2018,Marzo,2018,3,14.25,-87.45999908,1410,CATUAI,Hojas Nuevas Mayor al 30%,599,91,15.19,Susceptibles,a realizar
Santa Barbara,3/29/2018,Marzo,2018,3,14.58170033,-88.52380371,1331,CATUAI,Madurez Fisiologica,398,42,10.55,Susceptibles,a realizar
Copan,9/27/2017,Septiembre,2017,9,14.61999989,-88.66999817,1484,CATUAI,Fruto Consistente,1010,0,0,Susceptibles,a realizar
Francisco Morazan,3/31/2018,Marzo,2018,3,14.36987019,-86.83241272,1134,CATUAI,Hojas Nuevas Mayor al 30%,934,75,8.03,Susceptibles,a realizar
Copan,1/25/2018,Enero,2018,1,14.67551994,-89.04837036,1216,CATUAI,Fin de Cosecha,738,11,1.49,Susceptibles,a realizar
Comayagua,3/30/2018,Marzo,2018,3,14.63564777,-87.74925995,1270,PACAS,Madurez Fisiologica,625,67,10.72,Susceptibles,a realizar
Comayagua,3/31/2018,Marzo,2018,3,14.60000038,-87.90000153,1310,CATUAI,Madurez Fisiologica,582,125,21.48,Susceptibles,a realizar
Santa Barbara,5/25/2017,Mayo,2017,5,14.87080002,-88.4654007,1300,CATUAI,Fruto Consistente,674,147,21.81,Susceptibles,a realizar
Francisco Morazan,3/27/2018,Marzo,2018,3,14.42599964,-87.3234024,1370,CATUAI,Floracion,799,25,3.13,Susceptibles,a realizar
Cortes,10/18/2017,Octubre,2017,10,15.05525017,-87.23021698,1339,CATUAI,Madurez Fisiologica,947,63,6.65,Susceptibles,a realizar
Santa Barbara,8/29/2017,Agosto,2017,8,14.8295002,-88.46264648,1331,CATUAI,Formacion de Fruto,943,16,1.7,Susceptibles,a realizar
Comayagua,9/21/2017,Septiembre,2017,9,14.7809,-87.48439789,1340,CATUAI,Fruto Consistente,699,116,16.6,Susceptibles,a realizar
Copan,10/18/2017,Octubre,2017,10,14.69999981,-89.09999847,1180,CATUAI,Inicio de Cosecha,670,10,1.49,Susceptibles,a realizar
Santa Barbara,10/18/2017,Octubre,2017,10,14.87520027,-88.49069977,1228,CATUAI,Fruto Consistente,658,39,5.93,Susceptibles,a realizar
Santa Barbara,3/28/2018,Marzo,2018,3,14.57509995,-88.52269745,1437,CATUAI,Madurez Fisiologica,583,8,1.37,Susceptibles,a realizar
